Genes,DT_GBLog2FC,DT_GB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,SHAM-1 DTGB,SHAM-2 DTGB,SHAM-3 GTGB,Double_Therapy-GB-1 Counts,Double_Therapy-GB-2 Counts,Double_Therapy-GB-3 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,GB-Control_Exp,DT-GB_Exp,Regulated_DT-GB,UP-DT_GB,DOWN-DT_GB,GeneID
Tfe3,0.453178724,0.112223718,0.909428376,0.34869781,0.618059188,230.25267,279.6533198,263.1283509,338.3662057,349.1082037,370.5014266,707.2826734,917.1671241,687.0927356,825.6148465,1424.471012,1389.352946,1453.105686,1623.153945,697.471319,818.1070904,787.6999041,981.7510794,1036.534725,915.7857123,213.3417333,262.051797,243.522208,355.2644197,415.21729,332.2102629,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000134
Axin2,-0.181648031,0.563919688,-2.279812408,-1.158731589,-0.916939821,1101.528773,1217.763092,1034.717283,943.8136019,1110.259083,907.2643134,1300.163341,1224.343934,1914.717771,1528.071677,343.4727792,315.222269,267.3814419,302.4910207,2179.975291,1987.083386,1605.776533,812.8852354,607.1951569,1165.207024,1020.626852,1141.116462,957.6187309,521.7536497,650.0606174,479.6408529,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000142
Slfn4,4.989577003,3.82E-15,12.92505927,4.04731456,5.766341558,3.684042719,3.389737209,2.542302907,110.2541569,117.5568441,83.55271351,0,0,0,0,1295.080582,911.1219009,1028.29405,1444.233724,1.00645212,2.644742749,3.14241983,34.93776083,45.89821658,31.64300225,3.413467732,3.176385418,2.352871575,230.725232,89.29404085,176.9167081,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,ENSMUSG00000000204
Mid2,-0.525756574,0.040578731,-0.539852094,-0.60887088,-0.899934802,682.4689138,705.9127738,603.7969404,512.3016429,514.1627626,360.3738249,488.5274859,564.6119213,753.8430331,676.912946,338.7676726,450.1633088,433.5577585,486.5600248,578.7099688,444.3167819,494.4073866,302.7939272,317.4626647,373.2012913,632.3448974,661.4822634,558.806999,338.2222151,298.2420964,357.7648985,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000000266
Dgke,-0.330764249,0.162099222,-1.412137811,-0.639762014,-0.549189005,735.8875332,813.5369302,794.4696584,598.7941281,596.0963207,667.5777413,579.7398962,525.3421586,569.5541684,536.4215798,202.3195823,198.6332106,232.3969541,198.2281583,681.368085,538.6459399,552.0184168,376.163225,358.5798171,402.0522639,681.8401795,762.3325004,735.2723671,460.1395252,528.6207218,499.298265,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000276
Itgb2,2.929814871,1.01E-17,1.975654295,2.220023198,3.333826144,58.94468351,104.2344192,71.18448139,738.512758,279.0490744,771.3856581,102.0342217,188.4948609,127.6962212,132.2808318,457.5716134,669.3075575,488.5333821,545.7710331,103.6645683,196.5925444,174.9280372,917.6985179,574.6839202,724.9970222,54.61548371,97.67385161,65.88040409,658.0912868,744.7123007,806.9367628,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000000290
Mcts1,0.052188644,0.95188361,-0.320095253,0.563306965,0.990202233,193.4122428,205.0791012,162.707386,256.6260549,134.1810443,190.7364975,479.2516475,405.7875478,388.8930373,448.8425464,348.1778858,329.2561372,339.8493093,362.9892249,259.6646469,309.4349017,249.2986399,335.402504,480.0188485,393.6761751,179.2070559,192.1713178,150.5837808,443.0973206,291.9915136,306.6556273,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000355
Tbrg4,0.316261416,0.650330293,1.009130511,0.781734764,1.43978701,112.3633029,92.37033895,74.99793575,138.768163,127.0563871,84.39668031,258.1775005,228.637285,268.4522832,228.0703996,465.8055499,472.8334035,502.277288,541.9094456,265.7033596,282.9874742,261.8683192,570.6500936,423.6022906,402.0522639,104.1107658,86.55650265,69.40971145,259.565886,215.1986384,234.9060735,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000384
Lck,4.336236055,8.77E-09,4.184390912,1.461499401,4.624621189,5.526064079,4.237171511,0,90.29435265,35.62328609,84.39668031,13.14077098,13.96258229,12.33429409,14.59650557,204.6721356,163.0087761,374.833797,238.1312291,9.058069077,15.8684565,7.332312937,31.44398475,31.5550239,26.98961957,5.120201598,3.970481773,0,65.54694091,65.18464982,110.0815072,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,ENSMUSG00000000409
Itga5,0.160670547,0.717535082,1.509301874,1.510769298,1.20704226,632.7343371,736.4204087,474.1394921,729.9585562,631.7196068,702.1803802,1058.991544,1139.695779,1155.070364,1301.825841,3008.915648,2847.795704,3668.373427,3727.719132,1157.419938,1231.56854,1470.652481,3761.63225,4391.885599,2844.147497,586.263083,690.0697321,438.8105487,1388.284209,1323.337685,1256.108627,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000555
Wdr77,0.326782399,0.490147246,0.497973334,0.700961643,0.731630569,175.9130399,203.3842325,183.0458093,206.2513108,194.7406307,302.9840823,253.5395813,308.9221331,343.1835945,395.9302137,448.1614003,384.3120814,497.279504,508.442354,247.5872214,247.7242375,262.9157925,391.3029213,443.6827603,396.4682047,162.9930842,190.5831251,169.4067534,321.1800105,245.5586123,303.7070155,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000561
Cd52,4.432772113,2.26E-13,2.130610247,2.17090069,4.675852285,1.84202136,4.237171511,8.898060174,119.7588256,70.05912932,114.7794852,72.66073366,123.9179178,38.4539757,88.49131504,248.1943713,403.7435912,359.8404451,400.317904,39.25163267,82.86860614,93.22512163,401.7842496,265.8271711,303.400551,1.706733866,3.970481773,8.235050511,108.8079219,108.9387298,116.9616014,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,ENSMUSG00000000682
Polr3d,0.19357972,0.758333165,1.648559777,0.859345352,0.735576741,163.939901,183.0458093,200.8419296,159.6784342,198.3029593,266.6935098,158.4622383,175.40494,216.21292,198.8773884,571.6704476,489.0263283,600.9835212,688.6497706,172.1033125,215.1057436,174.9280372,393.6321054,346.1490501,282.9256672,151.8993141,171.5248126,185.8768544,300.2049894,266.0962417,281.1009917,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000000776
Tcf7,-0.101177415,0.823898164,-2.554024744,-0.49508036,-0.602002966,617.0771555,673.7102703,573.2893055,586.4380588,640.0317068,514.8197499,1872.946358,2229.649859,2136.735065,2634.669256,431.6935273,431.8113274,308.6131595,337.2453082,1618.375008,1264.187034,1411.993977,903.7234135,1102.513411,1038.635015,571.7558451,631.3066019,530.5725401,300.2049894,463.436072,376.4394399,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000782
Usp32,-0.408494497,0.019878998,-0.36801886,-0.464439757,-0.659085245,1821.759125,1758.426177,1991.894328,1429.502172,1417.806787,1349.502918,977.8279583,814.1930797,1028.09969,943.2991727,755.1696036,629.3650097,738.4225801,795.4870247,1041.677944,992.6601119,1001.384453,751.1618579,665.5241405,783.629644,1687.959793,1647.749936,1843.474879,1042.196361,1074.207311,1161.75305,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000000804
Car4,-0.152802331,0.715447207,-1.239818366,-0.588799817,-1.214224425,3805.616129,3560.918938,4184.630585,2906.527688,4550.281077,2936.160508,10737.55586,15730.59427,6894.870398,15528.85737,5205.024137,5417.073103,4846.600995,5232.45106,5865.602954,5888.960522,4663.351028,3723.200713,3305.627807,3888.366571,3526.112167,3336.792882,3872.826612,1542.974989,1770.70083,1312.132251,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000000805
Dlg3,-0.803149222,0.000122081,0.562455743,-0.51095344,-0.701011359,697.2050847,670.3205331,907.6021377,456.2240976,448.8534048,397.5083643,342.433032,279.2516458,436.7791202,340.2810362,498.7412958,494.4239699,595.9857372,478.8368498,377.4195449,439.0272964,398.0398452,294.641783,238.0969985,320.1527287,645.9987683,628.1302165,839.9751521,532.2411602,340.2102956,429.5144523,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,ENSMUSG00000000881
Mmp14,1.054073381,5.93E-05,1.071286412,0.64106355,2.121615462,552.6064079,670.3205331,572.018154,1208.043392,802.71138,1714.096577,320.0164227,371.7537534,290.9442312,288.2809851,674.0065154,519.2531212,610.9790891,867.5699913,425.7292466,583.6065667,711.2343549,894.4066773,926.5702473,861.8064731,512.0201598,628.1302165,529.3961043,2439.657141,2344.861513,2486.662619,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000000957
Ilf2,0.068080001,0.895568046,0.519230801,0.541956957,0.576160549,366.5622506,405.9210308,369.9050729,403.9484198,390.6687042,403.4161319,1096.094897,1343.898545,1149.265991,1346.527639,1791.469324,1729.404366,1737.979372,1812.371733,939.0198277,1102.857726,1088.324735,1615.289143,1484.042336,1460.231486,339.6400393,380.3721538,342.3428141,610.8974893,477.7231185,498.3153944,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001016
S100a6,0.62205797,0.134334999,0.730117042,1.034144437,1.460139092,130.7835165,148.3010029,129.6574482,287.0409947,154.3675731,187.3606303,717.3314983,821.1743709,784.3159949,900.4219375,1039.828551,1283.559171,1944.13796,1078.670108,732.6971432,722.8963515,1172.122597,1847.042956,1673.37248,1858.561044,121.1781045,138.966862,119.9964503,410.3238501,342.8891169,295.8440507,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000001025
Icam2,-0.263746372,0.441746212,-0.523855581,0.732961021,-0.584729663,595.8939099,800.8254157,587.2719715,588.3389925,575.9097919,491.1886794,5803.582854,7306.793844,4717.504717,7024.568307,4409.861128,4617.142619,3875.781461,4380.327419,2716.414271,2583.913666,2695.148741,4333.446935,4966.56952,3987.94896,552.1284057,750.4210551,543.5133337,340.8440927,473.2584165,415.7542639,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000001029
Lgals9,0.617976309,0.017251264,2.95267623,0.557451588,0.736809426,574.7106642,657.6090186,485.5798552,1036.008888,944.0170815,661.6699737,4849.717479,6040.562163,4750.879866,5776.567081,44289.16809,35725.91018,39261.34134,46524.40618,2095.433313,1929.780626,2252.067545,2722.816161,3968.283309,2545.400328,532.5009662,616.2187711,449.3984708,911.1024787,937.5874289,818.7312101,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000001123
Timp1,1.727123546,0.019367804,3.71331771,3.411594447,3.909089554,13.8151602,20.33842325,19.0672718,87.44295204,20.18652879,67.51734425,21.64362279,17.45322786,96.49771261,16.42106877,566.965341,474.9924602,468.5422462,490.4216123,58.37422294,113.7239382,155.026045,1009.701288,1542.37132,926.9538307,12.800504,19.05831251,17.64653681,403.769156,114.2963723,227.0431087,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000001131
Ramp2,-0.460359381,0.040783726,-2.733237164,0.372974946,-1.092112864,3676.674634,4386.319949,3123.219121,2878.964149,2999.480689,2256.767232,12658.42739,15196.5255,16386.47248,17742.96481,2161.996466,3373.525996,1840.433943,1943.665708,8231.771887,6402.922196,7144.815221,8749.579905,9845.167457,9607.37389,3406.640797,4110.242731,2890.502729,1352.88886,1914.464236,1612.890655,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,ENSMUSG00000001240
Lsr,-0.053096668,0.921448786,-1.018924122,-0.285293744,-0.671705211,726.6774264,879.6368058,621.5930607,708.0978182,796.7741657,647.322538,2989.138905,3778.623832,4728.387918,4451.9342,1832.639007,2554.164002,1707.992668,1773.755858,3295.12424,3029.112029,3458.75676,2799.679235,2596.117876,2631.953246,673.3065101,824.272016,575.2771,323.8018881,558.9806957,416.7371345,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000001247
