Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,MSG_Regulated,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated,GeneID
Tfe3,#N/A,1.414198924,#N/A,-1.732736877,0.909428376,0.34869781,0.618059188,876.2987638,349.5899914,439.0059738,277.1364498,399.3438128,274.1985402,899.4847929,995.3934302,856.431655,745.4462409,180.5981834,494.0706966,839.3034918,759.0191674,500.1230552,465.3009494,1607.724623,626.2176325,1069.539768,1705.340822,2103.812429,1517.418225,879.405986,576.3099032,847.5183227,282.4181245,560.7705259,696.6695849,695.4178594,729.9819249,964.5611653,576.0490189,695.9339914,649.7245528,2366.996445,2565.557999,2478.465761,2203.860651,3319.032777,3012.046923,707.4081005,903.8426103,1282.680747,614.5245641,802.8313347,488.8808463,1,1,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000000134
Axin2,#N/A,-5.328404953,#N/A,#N/A,-2.279812408,-1.158731589,-0.916939821,123.0225046,353.1940119,65.40293079,38.34592387,163.6996831,68.54963504,48.68345528,24.30909405,106.5738943,106.638802,12.03987889,46.16726181,25.32757675,4.010669313,56.25105938,34.53405484,0,0,0,0,0.747092482,3.15307683,27.67673661,19.98154774,45.78430314,48.54061515,56.82760588,58.92601414,42.45283444,20.47635133,18.74956909,21.55872077,41.39384335,36.62083843,0,7.603262488,12.48597361,0.973436683,0,4.056082579,7.502813187,20.37976573,0,15.40843302,22.86544941,35.85799596,1,1,1,0,0,0,1,1,1,0,0,0,0,ENSMUSG00000000142
Slfn4,#N/A,5.341981948,#N/A,#N/A,12.92505927,4.04731456,5.766341558,0,0,0,0,0,0.729251437,0,5.117704011,0,0,0,0,0,0,0,0,1.300222097,0,29.01852084,0,0.747092482,12.61230732,0,2.103320815,0,0,0,0,0,36.85743239,40.62406636,0,0,0,0,0,0,0,0,0,1.071830455,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000000204
Mid2,#N/A,-6.446474108,#N/A,6.259995155,-0.539852094,-0.60887088,-0.899934802,237.5280667,62.46968919,104.8238754,11.32947751,127.2061231,2.18775431,54.86548135,42.22105809,158.4206537,103.5626827,134.8466436,95.57433147,226.2014614,56.14937038,98.18366729,135.4098466,0,0,0,0,0,7.882692075,108.0285526,186.1438921,91.56860629,131.2803001,171.5550366,405.0231098,159.70352,123.8819255,107.2892009,77.61139476,100.8974932,204.3679048,2.077223734,0,0,0.973436683,10.38640299,0,106.1112151,61.1392972,174.6419171,99.70162544,205.7890446,343.9337359,1,1,0,0,1,0,1,1,1,0,0,1,1,ENSMUSG00000000266
Dgke,#N/A,#N/A,#N/A,#N/A,-1.412137811,-0.639762014,-0.549189005,129.6467934,264.2948389,361.0600152,178.6571453,338.8687707,328.8923979,198.5975874,88.28039419,164.1814047,262.4955126,46.95552767,96.38428343,162.4458371,194.5174617,107.3883861,139.0450103,33.15566348,6.376961635,91.20106551,41.3876673,85.16854294,115.0873043,101.7789669,201.9187982,181.1023547,143.4154538,115.7996497,136.4995011,211.2533904,100.3341215,190.6206191,269.0528352,164.7130017,164.2031143,59.20087642,41.2748535,86.36131744,71.06087788,54.2401045,47.86177443,87.89009733,130.4305007,58.21397238,64.35286733,68.59634822,162.6235873,1,1,1,0,1,0,0,1,1,0,1,1,0,ENSMUSG00000000276
Itgb2,#N/A,6.852974416,#N/A,#N/A,1.975654295,2.220023198,3.333826144,299.9856459,185.0063872,396.8972375,11.32947751,19.81078967,708.103145,746.4796477,2383.570643,415.7342002,26.6597005,0,310.2116013,73.36263612,4.010669313,0,9.996700084,8147.191661,3801.944527,7880.601161,7971.771509,9346.874042,8861.722431,127.6701076,572.1032616,39.67972939,144.5186496,23.58881753,23.12286631,254.7170066,1144.628039,1348.927332,296.6479977,28.45826731,20.08239527,7882.025459,8585.169529,7380.250899,8376.42266,7435.510495,7880.157234,399.7927598,874.29195,3302.409586,3527.624784,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,ENSMUSG00000000290
Mcts1,#N/A,#N/A,#N/A,#N/A,-0.320095253,0.563306965,0.990202233,429.6324393,1011.528429,529.4949602,528.9994498,500.4831074,538.1875602,645.2489708,548.8737552,634.6427399,470.6462511,337.1166089,366.0982866,279.476709,160.4267725,316.0286791,304.4449571,1008.322236,3772.610503,899.5741462,1019.488049,979.4382439,774.0803618,179.452389,375.4427654,436.4770233,525.1212002,295.9324382,191.6960207,289.0835869,248.7876686,415.6154481,439.7979036,355.2971554,361.4831149,920.2101142,728.8270185,925.0025446,580.1682632,510.0877912,696.0237705,543.4180408,188.512833,628.5135662,638.9967812,289.6290258,478.2749601,1,1,1,0,1,1,0,1,1,0,1,1,0,ENSMUSG00000000355
Tbrg4,#N/A,1.616168426,#N/A,-1.236463334,1.009130511,0.781734764,1.43978701,124.9151586,1.201340177,88.69712532,123.7527543,63.60306157,72.92514366,195.5065744,138.1780083,172.8225313,75.87760911,44.5475519,59.1264932,135.3715309,89.23739221,123.7523306,84.51755525,306.8524149,61.21883169,207.2751489,356.4407265,378.0287959,333.4378748,175.8811972,160.9040423,130.2309067,73.91411852,93.28305116,73.09809349,114.2183403,87.02449315,256.2441109,172.4697661,135.3923626,127.5822758,260.6915786,159.6685122,180.0061195,269.6419613,402.761627,352.0679678,97.53657143,176.2849736,90.77432981,148.6460597,104.1648251,73.2311185,1,0,1,0,1,1,1,1,1,0,1,1,1,ENSMUSG00000000384
Lck,#N/A,#N/A,#N/A,#N/A,4.184390912,1.461499401,4.624621189,4.731634794,4.805360707,15.2308195,0,4.170692562,1.458502873,0,24.30909405,3.840500695,3.076119288,1.203987889,52.6468775,0,41.10936046,19.43218415,9.087909167,6.501110486,24.23245421,43.52778127,10.98040153,11.20638723,9.459230491,34.81912026,7.361622852,3.052286876,18.75432858,8.577751831,0,1.010781772,83.95304045,41.66570908,37.08099972,2.58711521,42.52742528,8.308894936,1.086180355,2.080995601,28.22966382,6.924268659,19.46919638,0,15.2848243,0,0,19.05454117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ENSMUSG00000000409
Itga5,#N/A,1.508658264,2.664241046,1.467511527,1.509301874,1.510769298,1.20704226,692.7113338,88.89917308,1225.633004,1851.933823,1069.782642,219.5046824,3514.481819,3314.992773,2794.924381,3537.537181,1518.228728,822.911193,1737.995784,1980.267973,496.0320691,876.0744437,3517.750884,442.5611375,4528.962003,4588.118546,3589.779376,4478.157368,23.21274684,138.8191738,109.8823275,49.64381095,155.4717519,317.0070381,358.8275292,751.4820938,952.0614526,406.1662992,902.0408364,1668.020125,766.4955579,765.7571505,896.909104,1073.700662,1457.558553,1914.470977,3276.585702,5124.492094,3963.483509,4143.055726,927.3210037,1578.761906,1,1,1,0,1,1,1,1,1,1,1,1,1,ENSMUSG00000000555
Wdr77,#N/A,1.171787262,#N/A,#N/A,0.497973334,0.700961643,0.731630569,128.7004664,60.06700883,218.6070563,359.0572872,188.7238384,309.2026091,330.7383946,537.3589212,309.160306,271.7238705,239.5935899,247.8453002,200.8738846,133.3547547,239.322689,277.1812296,559.7456128,413.2271139,433.2050612,402.8962714,587.2146908,614.8499819,308.0152946,343.8929532,372.3789989,311.1012153,292.7157812,441.5721566,419.4744355,342.9788848,539.5709326,527.7574844,412.2136901,378.021558,348.9735873,323.6817459,544.1803497,434.1527607,334.6729852,454.2812488,463.0307567,278.1838023,648.2471162,250.160442,295.9805395,384.8421538,1,1,1,0,1,1,1,1,1,0,1,1,0,ENSMUSG00000000561
