Genes,M_Log2FC,S_Log2FC,GB_log2FC,TTT-GB-Log2fc,Sham_C-1 Counts,Sham_C-2 Counts,Sham_C-3 Counts,TT_Treatment-1 Counts,TT_Treatment-2 Counts,TT_Treatment-3 Counts,GBT-P-adj,MSG_Regulated,Control_GB-TT-Exp,Glioblastoma_TT-Exp,GB-TT-Regulated,GBT-UP,GBT-DOWN,GeneID
Tfe3,0.909428376,0.34869781,0.618059188,0.142843973,243.8022586,298.1584279,276.962712,310.9682154,323.7348621,270.0746682,0.881522162,1,1,1,0,0,0,ENSMUSG00000000134
Axin2,-2.279812408,-1.158731589,-0.916939821,0.169057736,1166.350005,1298.344427,1089.11907,1388.162114,1161.257888,1450.431125,0.73192438,1,1,1,0,0,0,ENSMUSG00000000142
Slfn4,12.92505927,4.04731456,5.766341558,3.966404282,3.900836138,3.61404155,2.675968232,37.31618585,75.6991966,47.99519706,6.82E-08,1,0,1,1,1,0,ENSMUSG00000000204
Mid2,-0.539852094,-0.60887088,-0.899934802,-0.209346239,722.6298945,752.6241528,635.542455,615.7170666,583.8501866,628.8184293,0.593060784,1,1,1,0,0,0,ENSMUSG00000000266
Dgke,-1.412137811,-0.639762014,-0.549189005,-0.305296521,779.1920185,867.369972,836.2400724,788.6153944,636.1953757,588.9580114,0.309799015,1,1,1,0,0,0,ENSMUSG00000000276
Itgb2,1.975654295,2.220023198,3.333826144,2.990228563,62.41337821,111.1317777,74.92711048,621.9364309,890.673526,470.1902357,1.76E-29,1,1,1,1,1,0,ENSMUSG00000000290
Mcts1,-0.320095253,0.563306965,0.990202233,-0.057973959,204.7938972,218.6495138,171.2619668,201.5074036,180.3895749,191.9807883,0.969122589,1,1,1,0,0,0,ENSMUSG00000000355
Tbrg4,1.009130511,0.781734764,1.43978701,0.10159251,118.9755022,98.48263224,78.94106283,123.1434133,91.80540865,105.7521291,0.958980772,1,1,1,0,0,0,ENSMUSG00000000384
Lck,4.184390912,1.461499401,4.624621189,3.97095139,5.851254207,4.517551938,0,58.4620245,86.16823443,29.28520499,2.31E-07,1,0,1,1,1,0,ENSMUSG00000000409
Itga5,1.509301874,1.510769298,1.20704226,0.29765899,669.9686067,785.1505268,499.0680752,737.616607,905.9744274,762.2288076,0.465257106,1,1,1,0,0,0,ENSMUSG00000000555
Wdr77,0.497973334,0.700961643,0.731630569,0.040840435,186.2649256,216.842493,192.6697127,221.4093694,195.6904763,197.6751337,0.978840888,1,1,1,0,0,0,ENSMUSG00000000561
Cd52,2.130610247,2.17090069,4.675852285,4.105870042,1.950418069,4.517551938,9.36588881,115.6801761,86.16823443,56.94345414,1.28E-11,1,0,1,1,1,0,ENSMUSG00000000682
Polr3d,1.648559777,0.859345352,0.735576741,0.141775549,173.5872081,195.1582437,211.4014903,197.775785,244.0091125,196.0481778,0.9061414,1,1,1,0,0,0,ENSMUSG00000000776
Tcf7,-2.554024744,-0.49508036,-0.602002966,0.11706134,653.3900531,718.2907581,603.4308362,716.4707684,658.7440726,769.5501089,0.877209483,1,1,1,0,0,0,ENSMUSG00000000782
Usp32,-0.36801886,-0.464439757,-0.659085245,-0.213063927,1928.96347,1874.784054,2096.621109,1776.250447,1644.44425,1669.256684,0.416180242,1,1,1,0,0,0,ENSMUSG00000000804
Car4,-1.239818366,-0.588799817,-1.214224425,-0.073304994,4029.56373,3796.550648,4404.643709,3441.796209,3340.428378,4837.753169,0.942908662,1,1,1,0,0,0,ENSMUSG00000000805
Dlg3,0.562455743,-0.51095344,-0.701011359,-0.19924476,738.2332391,714.6767165,955.3206587,725.1778784,689.3458755,680.0675381,0.683465448,1,1,1,0,0,0,ENSMUSG00000000881
Mmp14,1.071286412,0.64106355,2.121615462,0.695254042,585.1254207,714.6767165,602.0928521,1102.071356,1063.009995,919.2300455,9.82E-05,1,1,1,1,1,0,ENSMUSG00000000957
Ilf2,0.519230801,0.541956957,0.576160549,-0.109645137,388.1331957,432.7814756,389.3533777,366.9424942,368.8322558,386.4020103,0.906017868,1,1,1,0,0,0,ENSMUSG00000001016
S100a6,0.730117042,1.034144437,1.460139092,0.638812989,138.4796829,158.1143178,136.4743798,212.7022594,237.5666276,224.5199049,0.027452265,1,1,1,1,1,0,ENSMUSG00000001025
Icam2,-0.523855581,0.732961021,-0.584729663,-0.179978898,630.9602453,853.8173162,618.1486615,685.3739468,543.5846565,632.072341,0.791849562,1,1,1,0,0,0,ENSMUSG00000001029
Lgals9,2.95267623,0.557451588,0.736809426,0.551016864,608.5304375,701.1240607,511.1099322,797.3225044,994.5585937,878.5561497,0.011250229,1,1,1,1,1,0,ENSMUSG00000001123
Timp1,3.71331771,3.411594447,3.909089554,2.021081742,14.62813552,21.6842493,20.06976174,69.65688026,96.63727226,61.82432164,2.32E-05,1,1,1,1,1,0,ENSMUSG00000001131
Ramp2,-2.733237164,0.372974946,-1.092112864,-0.045738112,3893.034466,4676.569766,3287.426972,3591.060952,3675.437588,4223.577342,0.96571605,1,1,1,0,0,0,ENSMUSG00000001240
Lsr,-1.018924122,-0.285293744,-0.671705211,0.066663141,769.4399282,937.8437823,654.2742326,798.5663773,795.646875,882.6235392,0.951599486,1,1,1,0,0,0,ENSMUSG00000001247
Snd1,0.666662847,0.761719518,0.773176422,0.247356051,1151.72187,1359.783133,1149.328355,1365.772402,1623.506174,1356.881164,0.414259928,1,1,1,0,0,0,ENSMUSG00000001424
Tubb6,4.410593183,2.892379206,2.72081222,0.778634511,64.36379628,49.69307131,56.19533286,68.4130074,121.6019009,100.0577837,0.138349604,1,1,1,0,0,0,ENSMUSG00000001473
Fkbp10,-0.611238801,1.026232036,1.302147562,0.251952865,236.9757954,248.4653566,188.6557603,256.2378095,318.9029985,229.4007724,0.720582678,1,1,1,0,0,0,ENSMUSG00000001555
Ifrd1,3.199068966,0.682117763,0.695926033,0.178264779,550.0178954,516.8079417,436.1828217,556.0111692,637.8059969,509.2371756,0.775897848,1,1,1,0,0,0,ENSMUSG00000001627
Eef1e1,1.78531874,1.702229361,1.03145397,-0.297747642,77.04151372,84.02646604,52.18138052,57.21815164,58.78767396,58.57040998,0.84019274,1,1,1,0,0,0,ENSMUSG00000001707
Rin2,0.367495383,-0.694995479,-0.73037739,-0.076589626,2521.890563,3014.110653,2504.706265,2491.477342,2267.754656,2867.509655,0.928172932,1,1,1,0,0,0,ENSMUSG00000001768
Rtcb,0.338015255,0.267137607,0.530822793,0.192261307,927.4237918,1058.010664,962.0105792,1058.535805,1162.063199,1146.190384,0.587646176,1,1,1,0,0,0,ENSMUSG00000001783
Pwp1,0.358766153,0.701509489,0.62734577,0.130338936,197.967434,206.0003684,200.6976174,207.7267679,223.0710368,230.2142503,0.907961832,1,1,1,0,0,0,ENSMUSG00000001785
Uba1,0.838942176,0.429779918,-0.432137509,-0.020341832,2352.204191,2962.610561,2341.472203,2266.336354,2496.462867,2786.161863,0.988322079,1,1,1,0,0,0,ENSMUSG00000001924
Ssr4,0.303995253,1.016424138,0.836114346,0.39027523,169.686372,157.2108074,144.5022845,162.9473449,221.4604156,231.8412062,0.419130497,1,1,1,0,0,0,ENSMUSG00000002014
Fam98a,0.536711585,0.416385455,0.712164471,0.098572503,180.4136714,206.0003684,191.3317286,207.7267679,193.2745445,218.0120816,0.938765283,1,1,1,0,0,0,ENSMUSG00000002017
Spi1,1.699303879,1.357357008,2.586984114,1.929576236,28.281062,19.87722853,36.12557113,90.80271891,148.1771508,77.28040205,1.33E-05,1,1,1,1,1,0,ENSMUSG00000002111
Napsa,1.787720485,1.03320656,2.769010593,2.54628209,6.826463241,6.324572713,5.351936463,36.07231299,37.0442877,35.79302832,0.000446102,1,0,1,1,1,0,ENSMUSG00000002204
Rmnd5a,-0.689685808,-0.641155269,-0.819222568,-0.253987099,2742.287805,3117.110837,2308.0226,2423.064335,2083.338528,2348.510745,0.396977326,1,1,1,0,0,0,ENSMUSG00000002222
Ppm1j,1.646721501,2.336909551,1.85044398,0.546265898,9.752090345,15.35967659,13.37984116,13.68260148,21.74338626,20.33694791,0.847692788,1,0,1,0,0,0,ENSMUSG00000002228
Ipo4,0.858586023,1.42476478,0.941588718,0.36539292,98.49611248,118.3598608,78.94106283,151.7524891,119.9912797,113.0734304,0.635662854,1,1,1,0,0,0,ENSMUSG00000002319
Snrpd1,0.615867914,1.126035566,1.116448295,-0.166973489,222.3476599,234.9127008,199.3596332,170.4105821,184.4161279,229.4007724,0.875131812,1,1,1,0,0,0,ENSMUSG00000002477
Lcp2,3.100916787,1.538787718,3.246941928,2.096125021,49.73566076,40.65796744,65.56122167,246.2868266,264.1418775,150.4934145,5.42E-11,1,1,1,1,1,0,ENSMUSG00000002699
Ggct,1.911203759,0.689265299,2.547241072,0.853927585,69.23984145,53.30711286,80.27904695,115.6801761,173.9470901,74.8399683,0.108815087,1,1,1,0,0,0,ENSMUSG00000002797
Epdr1,-0.56034672,-0.560763728,-1.695396357,-0.295696504,225.273287,181.6055879,222.1053632,190.3125479,178.7789537,143.9855912,0.634772074,1,1,1,0,0,0,ENSMUSG00000002808
Mcm2,-1.320376592,0.665898927,1.744318358,0.451832857,184.3145075,224.0705761,168.5859986,242.5552081,268.1684305,279.8364032,0.194496695,1,1,1,0,0,0,ENSMUSG00000002870
Il17ra,2.650568579,0.953066644,1.40637679,0.981078132,180.4136714,170.7634632,176.6139033,338.3334184,408.2924753,294.4790057,2.43E-05,1,1,1,1,1,0,ENSMUSG00000002897
Lamb1,-0.420082874,0.916668093,1.297912376,0.396248238,770.4151372,990.2473847,762.650946,1042.365458,1070.25779,1210.45514,0.093114084,1,1,1,0,0,0,ENSMUSG00000002900
Relb,3.23589526,0.835355672,0.940053578,0.820266368,100.4465306,140.9476205,119.0805863,217.6777508,231.1241428,188.7268766,0.006047783,1,1,1,1,1,0,ENSMUSG00000002983
Hmgn2,-1.673216413,0.537070213,0.644347251,-0.064023066,155.0582365,135.5265581,155.2061574,159.2157263,120.7965903,147.2395029,0.970007136,1,1,1,0,0,0,ENSMUSG00000003038
Hck,3.59899366,1.712919852,3.307098768,2.492553293,5.851254207,24.39478046,13.37984116,74.63237171,97.44258286,75.65344622,1.72E-06,1,0,1,1,1,0,ENSMUSG00000003283
Fkbp11,0.909083889,1.773221062,2.260873658,0.31032598,13.65292648,18.97371814,2.675968232,17.41422007,10.46903783,17.08303624,0.950747885,1,0,1,0,0,0,ENSMUSG00000003355
Dusp3,-1.16995378,-0.426405773,-1.115776419,-0.212476893,3877.431121,4289.86732,3909.589586,3295.019211,3170.507841,3956.756585,0.4736626,1,1,1,0,0,0,ENSMUSG00000003518
Ier3,3.016935643,0.546938004,1.304442664,0.787373397,45.83482462,67.76327907,48.16742817,94.5343375,99.05320407,87.04213705,0.106808509,1,1,1,0,0,0,ENSMUSG00000003541
Has1,2.741322657,2.604798236,1.281937522,0.273494996,52.66128786,38.85094666,54.85734875,68.4130074,46.70801493,61.82432164,0.883106338,1,1,1,0,0,0,ENSMUSG00000003665
Farsa,0.79357586,0.722087369,1.340567956,0.279998819,236.9757954,229.4916384,236.8231885,253.7500638,315.6817561,282.276837,0.557279755,1,1,1,0,0,0,ENSMUSG00000003808
Nfat5,-0.553687278,-0.592311247,-0.450119662,-0.190897163,7012.728167,7472.030905,6926.743767,6384.7994,5848.970904,6526.533323,0.445363522,1,1,1,0,0,0,ENSMUSG00000003847
Nob1,0.597108454,0.691296225,0.908343337,0.118537604,138.4796829,106.6142257,125.7705069,151.7524891,117.5753479,134.2238562,0.941233856,1,1,1,0,0,0,ENSMUSG00000003848
Il7r,1.364031259,2.281478911,4.161530406,3.902566805,9.752090345,9.035103875,8.027904695,140.5576334,163.4780522,100.0577837,1.55E-18,1,0,1,1,1,0,ENSMUSG00000003882
Efnb3,-0.757401326,-1.065393841,-1.715534693,-0.466985438,292.5627103,206.9038787,255.5549661,160.4595992,231.9294534,152.1203704,0.28963977,1,1,1,0,0,0,ENSMUSG00000003934
Mmd,-0.87176196,-0.41769012,-0.940393648,-0.174219181,939.1263002,1080.598423,897.7873417,890.612969,762.6291403,935.4996038,0.732327711,1,1,1,0,0,0,ENSMUSG00000003948
Hlf,-0.985267159,-0.903126287,-1.877685476,-0.422463056,1189.755022,1271.239115,1407.55929,982.6595608,893.8947684,1008.712616,0.024251131,1,1,1,1,0,1,ENSMUSG00000003949
Brinp2,0.594563978,-1.127433389,-2.182140726,-0.520347415,295.4883374,234.0091904,359.9177271,208.9706408,233.5400746,175.7112299,0.141096083,1,1,1,0,0,0,ENSMUSG00000004031
Gstm7,-2.983667313,-1.037839631,-1.037409637,-0.21999627,327.6702356,366.8252173,280.9766643,211.4583865,277.8321578,346.5415924,0.792328096,1,1,1,0,0,0,ENSMUSG00000004035
Ppan,1.14004927,1.160800694,2.153800933,0.240959859,103.3721577,99.38614263,135.1363957,116.924049,175.5577113,104.1251733,0.85425504,1,1,1,0,0,0,ENSMUSG00000004100
Ptpn6,1.455389463,1.443640967,3.167524215,2.500145316,59.4877511,57.8246648,50.8433964,339.5772913,393.7968845,222.0794712,1.45E-19,1,1,1,1,1,0,ENSMUSG00000004266
