Genes,EC-Log2fC,PC-Log2fC,AC-Log2fC,MC-Log2fC,M_Log2FC,S_Log2FC,GB_log2FC,Contra-Endo-1,Contra-Endo-2,Contra-Endo-3,Contra-Endo-4,Contra-Endo-5,Ipsi-Endo-1,Ipsi-Endo-2,Ipsi-Endo-3,Ipsi-Endo-4,Ipsi-Endo-5,Contra-Peri-1,Contra-Peri-2,Contra-Peri-3,Contra-Peri-4,Contra-Peri-5,Contra-Peri-6,Ipsi-Peri-1,Ipsi-Peri-2,Ipsi-Peri-3,Ipsi-Peri-4,Ipsi-Peri-5,Ipsi-Peri-6,Contra-Astro-1,Contra-Astro-2,Contra-Astro-3,Contra-Astro-4,Contra-Astro-5,Contra-Astro-6,Ipsi-Astro-1,Ipsi-Astro-2,Ipsi-Astro-3,Ipsi-Astro-4,Ipsi-Astro-5,Ipsi-Astro-6,Contra-MG-1,Contra-MG-2,Contra-MG-3,Contra-MG-4,Contra-MG-5,Contra-MG-6,Ipsi-MG-1,Ipsi-MG-2,Ipsi-MG-3,Ipsi-MG-4,Ipsi-MG-5,Ipsi-MG-6,iMSG,Control-EC-exp,EC-EXP,EC-Regulated,Control-PC-exp,PC-EXP,PC-Regulated,Control-AC-exp,AC-EXP,AC-Regulated,Control-MC-exp,MC-EXP,MC-Regulated,GeneID
Slfn4,#N/A,5.341981948,#N/A,#N/A,12.92505927,4.04731456,5.766341558,0,0,0,0,0,0.729251437,0,5.117704011,0,0,0,0,0,0,0,0,1.300222097,0,29.01852084,0,0.747092482,12.61230732,0,2.103320815,0,0,0,0,0,36.85743239,40.62406636,0,0,0,0,0,0,0,0,0,1.071830455,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000000204
Il7r,#N/A,6.335842608,#N/A,-6.838037687,1.364031259,2.281478911,4.161530406,0,0,13.43895838,0,0,70.73738935,18.5460782,26.86794606,26.88350487,0,0,6.479615693,0,0,0,0,111.8191004,183.6564951,45.60053276,60.81453154,106.8342249,56.75538294,0,25.23984978,0,0,1.072218979,31.32775435,0,20.47635133,1.041642727,8.623488307,0,1.181317369,343.780528,395.3696494,323.594816,452.6480577,188.1092986,435.6232689,0,4.075953147,14.80016247,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,ENSMUSG00000003882
Mcemp1,6.977549628,9.106745479,#N/A,#N/A,4.471429629,3.739435552,3.822763933,6.624288712,0,0,0,0,396.7127815,191.6428081,202.1493084,51.84675938,0,0,0,0,0,0,1.817581833,87.76499156,212.9905186,312.9854748,225.5205544,122.523167,182.0901869,21.42715093,23.13652896,0,0,0,0,2.021563545,145.3820944,83.33141817,44.84213919,10.34846084,17.71976053,35.31280348,21.72360711,66.59185923,29.2031005,26.54302986,11.35703122,28.93942229,190.5508096,597.9265638,324.4834719,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,ENSMUSG00000013974
Gpr132,#N/A,4.15887998,#N/A,#N/A,3.742518112,2.584299548,4.619553714,0,0,0,0,0,0,0,28.14737206,9.601251738,0,0,3.239807846,0,0,0,0,10.40177678,0,0,2.533938814,32.87206921,14.97711494,0,0,0,0,0,0,0,10.23817566,22.91614,0.862348831,0,0,5.193059335,1.086180355,0,0,17.31067165,0,0,10.18988287,13.81348497,0.906378413,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000021298
Acod1,#N/A,4.806475528,#N/A,#N/A,13.24113492,4.999903193,7.174750655,19.87286613,68.47639007,0,0,0,145.1210359,199.3703407,466.990491,72.00938803,10.25373096,0,61.55634908,0,0,0,0,266.5455299,151.7716869,406.2592918,455.2643402,265.9649236,185.2432638,0,19.98154774,0,0,0,0,64.69003343,218.0731417,294.7848918,134.5264176,18.10980647,25.98898211,45.69892215,23.89596782,35.37692522,11.6812402,78.4750448,3.244866063,0,119.2216295,452.8849716,654.4052142,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,ENSMUSG00000022126
Vdr,#N/A,#N/A,#N/A,3.403713101,5.911459273,2.41687846,3.871264154,0,0,0,0,0,0,20.86433798,49.89761411,0,14.35522335,50.56749134,0,25.32757675,3.008001985,11.25021188,24.53735475,27.95477509,0,0,21.96080305,4.482554892,18.91846098,0,0,13.22657646,0,1.072218979,44.75393479,37.39892558,0,0,23.28341843,13.79794778,10.63185632,6.231671202,0,0,19.46873367,0,0,0,83.55703951,24.66693745,87.01232765,57.16362351,20.20168786,1,0,0,0,0,0,0,0,0,0,0,0,1,ENSMUSG00000022479
Mefv,#N/A,5.89154554,#N/A,#N/A,3.938557792,3.574500823,5.789622267,0,0,0,0,0,0,0,76.76556017,0,0,0,0,0,0,0,0,10.40177678,0,16.58201191,0,17.18312709,18.91846098,0,27.34317059,0,0,0,0,0,33.78597969,57.29034999,0,0,5.906586844,11.42473054,1.086180355,0,0,26.54302986,0,0,0,46.3738424,68.88475939,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000022534
Ms4a4c,#N/A,9.361047323,#N/A,#N/A,6.417517156,3.254710994,5.241037515,0,0,11.64709726,0,0,89.69792671,17.77332494,98.51580221,0,3.076119288,0,0,0,0,0,0,67.61154905,230.8460112,132.6560953,108.1147227,76.20343316,85.13307441,0,11.56826448,0,0,0,4.475393479,5.053908862,14.33344593,20.83285454,10.34818597,0,0,95.55229177,53.22283741,41.61991202,82.74211808,62.31841793,137.0955912,0,23.43673059,7.893419984,92.45059813,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,ENSMUSG00000024675
Il6,3.152156326,1.610711919,#N/A,3.140471794,13.03415392,5.783562555,5.04525822,17.03388526,2.402680353,0.895930559,32.24543598,16.68277025,29.17005747,233.3714841,223.8995505,117.1352712,14.35522335,179.3941955,449.5233387,132.7514368,345.9202282,143.1845148,102.6933736,408.2697385,1543.224716,288.112457,362.3532504,501.2990554,1031.056123,18.74875706,22.08486855,0,0,3.216656936,58.92601414,22.23719899,192.4777025,88.5396318,100.8948132,69.85211066,224.4503001,302.2360533,316.0784834,184.1681107,312.4731753,535.4767763,340.7109366,2037.549696,1875.957436,1392.20195,1964.122021,4503.22323,5781.218024,1,0,1,1,1,1,1,0,0,0,1,1,1,ENSMUSG00000025746
Gpr35,6.09627852,8.232607485,#N/A,#N/A,2.387707872,3.731081842,3.652962199,0,0,13.43895838,0,10.42673141,303.3685976,459.7881888,839.3034578,26.88350487,8.202984769,40.93558823,4.85971177,0,1.002667328,0,0.908790917,2555.586532,1286.870858,3393.094187,2921.631453,1878.937592,2093.643015,81.24461393,65.20294526,1.017428959,18.75432858,8.577751831,7.458989131,89.95957774,261.0734794,337.4922436,106.0689062,35.3572412,18.9010779,510.9970386,766.8433309,475.5074948,910.1632989,467.3881345,923.9756114,246.5210047,408.614303,850.5160032,782.2045705,8.892119213,0,1,0,0,1,0,1,1,0,1,0,1,0,0,ENSMUSG00000026271
